city,timestamp,date,hour,month,day_of_year,is_daylight,temperature,humidity,wind_speed,cloudcover,uv_index,solar_elevation_deg,solar_azimuth_deg,solar_angle,cloud_factor,temp_efficiency,uv_factor,clear_sky_ghi_wm2,ghi_wm2,poa_irradiance_wm2,cell_temperature_c,production_kw,hourly_production_kwh,solar_potential,load_kwh,system_hourly_kwh,self_consumed_kwh,grid_export_kwh,grid_import_kwh
Turin,2026-01-01T00:00:00+01:00,2026-01-01,0,1,1,0,-1.01,93,8.12,69,0.0,-66.945,180.0,0.0,0.775734,1.0,0.0,0.0,0.0,0.0,-1.01,0.0,0.0,0.0,0.111458,0.0,0.0,0.0,0.111458
Turin,2026-01-01T01:00:00+01:00,2026-01-01,1,1,1,0,-1.12,94,9.67,82,0.0,-67.257,180.0,0.0,0.625782,1.0,0.0,0.0,0.0,0.0,-1.12,0.0,0.0,0.0,0.111673,0.0,0.0,0.0,0.111673
Turin,2026-01-01T02:00:00+01:00,2026-01-01,2,1,1,0,-1.51,87,9.61,74,0.0,-61.688,180.0,0.0,0.719565,1.0,0.0,0.0,0.0,0.0,-1.51,0.0,0.0,0.0,0.113296,0.0,0.0,0.0,0.113296
Turin,2026-01-01T03:00:00+01:00,2026-01-01,3,1,1,0,-1.63,89,6.85,75,0.0,-52.879,180.0,0.0,0.710755,1.0,0.0,0.0,0.0,0.0,-1.63,0.0,0.0,0.0,0.12185,0.0,0.0,0.0,0.12185
Turin,2026-01-01T04:00:00+01:00,2026-01-01,4,1,1,0,-1.66,93,9.38,75,0.0,-42.756,180.0,0.0,0.718955,1.0,0.0,0.0,0.0,0.0,-1.66,0.0,0.0,0.0,0.152897,0.0,0.0,0.0,0.152897
Turin,2026-01-01T05:00:00+01:00,2026-01-01,5,1,1,0,-0.53,92,9.59,80,0.0,-32.208,359.997,0.0,0.64871,1.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,0.0,0.228587,0.0,0.0,0.0,0.228587
Turin,2026-01-01T06:00:00+01:00,2026-01-01,6,1,1,0,0.42,90,7.41,84,0.0,-21.693,360.0,0.0,0.582837,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.346492,0.0,0.0,0.0,0.346492
Turin,2026-01-01T07:00:00+01:00,2026-01-01,7,1,1,0,1.62,89,6.77,78,0.0,-11.535,360.0,0.0,0.671129,1.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.447496,0.0,0.0,0.0,0.447496
Turin,2026-01-01T08:00:00+01:00,2026-01-01,8,1,1,0,1.93,79,9.67,74,0.0,-2.035,360.0,0.0,0.722097,1.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.45766,0.0,0.0,0.0,0.45766
Turin,2026-01-01T09:00:00+01:00,2026-01-01,9,1,1,1,4.16,84,6.93,71,0.5,6.459,352.905,0.112495,0.760084,1.0,0.05,73.11,48.65,122.69,8.0,0.262805,0.262805,0.262805,0.377994,0.262805,0.262805,0.0,0.115189
