month,avg_temperature_c,avg_cloud_cover_pct,avg_ghi_wm2,production_kwh,load_kwh,self_consumed_kwh,grid_export_kwh,grid_import_kwh
1,3.32,58.1,72.6,199.4,252.0,73.6,125.8,178.4
2,6.83,52.3,115.3,244.0,224.9,78.9,165.1,146.0
3,10.58,46.7,185.1,356.5,241.0,102.2,254.3,138.7
4,14.87,51.6,247.8,386.4,222.1,109.7,276.7,112.3
5,19.06,38.5,318.3,452.3,218.5,120.4,331.9,98.0
6,22.35,39.2,339.5,439.6,202.9,116.8,322.8,86.1
7,23.81,35.9,333.0,451.5,206.5,118.1,333.3,88.3
8,21.33,37.0,284.0,427.6,210.0,110.5,317.1,99.5
9,16.75,45.9,206.5,353.5,210.9,96.7,256.8,114.2
10,10.67,50.9,130.4,285.1,229.5,86.8,198.3,142.7
11,6.1,58.3,79.0,200.3,233.1,70.9,129.4,162.2
12,3.46,69.2,53.9,151.5,248.8,66.3,85.2,182.5
